Account,date,avg_trade_size,trades_per_day,total_volume,win_rate,pnl_trades,Closed PnL,ls_ratio,account_max_size,leverage_proxy,fgi_value,fgi_classification,cum_pnl,cum_max,drawdown,segment,sentiment_group
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,11034.799511025887,1043,11509295.89,0.5942028985507246,483.0,155.50335699999994,0.999973387084044,102878.22,0.1072607934995937,69,Greed,155.50335699999994,155.50335699999994,0.0,High-Freq & High-Leverage,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,7639.724411573472,3076,23499792.29,0.4696441032798325,1433.0,2606.8947559999997,1.0006061745562294,102878.22,0.0742598813584974,84,Extreme Greed,2762.3981129999997,2762.3981129999997,0.0,High-Freq & High-Leverage,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,2875.2178940961658,1643,4723983.0,0.9175531914893617,376.0,62586.1816,0.9860076262462796,102878.22,0.0279477803377249,50,Neutral,65348.57971300001,65348.57971300001,0.0,High-Freq & High-Leverage,Neutral
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,2166.171861198738,1268,2746705.92,0.8042505592841164,894.0,1421755.845871,0.1388400737964454,102878.22,0.0210556895443828,74,Greed,1487104.425584,1487104.425584,0.0,High-Freq & High-Leverage,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,1818.587241192412,7380,13421173.84,0.950592885375494,3036.0,553818.000465,0.9681894146058416,102878.22,0.0176770869596343,44,Fear,2040922.426049,2040922.426049,0.0,High-Freq & High-Leverage,Fear
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22504.555828854896,4838,108877041.1,0.8034835289663006,2641.0,22488.500821,1.0006570720056496,1613842.3,0.0139447056437019,44,Fear,22488.500821,22488.500821,0.0,High-Freq & Low-Leverage,Fear
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,3210.7751864086836,21190,68036326.2,0.9911955977988994,9995.0,940157.212682,0.9552957043236452,1120971.6,0.0028642787974366,44,Fear,940157.212682,940157.212682,0.0,High-Freq & Low-Leverage,Fear
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,2725.7805992509366,267,727783.42,0.7735849056603774,53.0,11671.68,0.5420022658500001,643980.69,0.0042327054857047,74,Greed,11671.68,11671.68,0.0,Low-Freq & Low-Leverage,Greed
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,8103.972912709181,2211,17917884.11,0.7974806201550387,1032.0,325441.97721599997,1.031568899343467,643980.69,0.0125841862008458,44,Fear,337113.65721599996,337113.65721599996,0.0,Low-Freq & Low-Leverage,Fear
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,2693.2837964180917,9883,26617723.76,0.8260167376303039,6811.0,684215.002602,0.8880652536650504,157522.46,0.0170977763832413,74,Greed,684215.002602,684215.002602,0.0,High-Freq & Low-Leverage,Greed
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,1554.8373344339798,26651,41437969.8,0.7312847568800799,14026.0,126967.976166,1.0073317888196227,157522.46,0.0098705755003697,44,Fear,811182.978768,811182.978768,0.0,High-Freq & Low-Leverage,Fear
